age,gender,department,job_level,marital_status,monthly_income,years_at_company,overtime,performance_rating,distance_from_home_km,training_hours_last_year,Attrition
31,M,Sales,3,Married,4349.0,34,Yes,3,8.1,18.0,0
38,M,Sales,3,Married,3270.0,40,Yes,2,10.2,28.0,1
47,F,Engineering,2,Divorced,6362.0,5,Yes,4,8.6,92.0,0
23,F,Finance,2,Married,3411.0,8,No,4,24.5,197.0,0
45,F,Engineering,2,Married,9913.0,14,Yes,3,0.0,109.0,0
60,F,Support,3,Single,7553.0,36,No,3,0.6000000000000001,106.0,0
58,M,Engineering,5,Single,4645.0,3,No,3,7.9,196.0,0
61,F,Sales,1,Single,4921.0,23,Yes,3,4.5,141.0,0
25,F,Support,1,Married,4963.0,27,No,3,10.6,199.0,1
38,F,Engineering,4,Single,4961.0,23,No,4,-1.4,76.0,0
44,F,Support,5,Divorced,11581.0,35,No,4,5.2,81.0,0
30,F,Support,2,Single,4644.0,40,No,3,7.300000000000001,6.0,0
56,F,Engineering,2,Single,17324.0,4,No,3,8.8,84.0,0
33,F,HR,4,Single,8284.0,31,Yes,3,7.5,48.0,0
18,F,Sales,1,Married,9782.0,4,No,3,5.4,123.0,0
57,F,Engineering,1,Married,4779.0,14,No,3,11.4,25.0,0
30,F,Engineering,2,Divorced,2854.0,10,No,4,3.4000000000000004,194.0,0
30,F,Sales,4,Married,5042.0,38,No,2,15.5,163.0,1
28,M,Engineering,1,Single,5717.0,39,No,2,21.2,122.0,1
29,M,Engineering,2,Married,5688.0,9,No,2,24.1,164.0,0
41,F,Engineering,3,Married,7658.0,13,No,3,6.9,190.0,0
56,M,Sales,1,Single,3990.0,17,Yes,3,0.5,73.0,0
43,M,Engineering,3,Married,8620.0,39,Yes,2,19.8,167.0,1
39,M,Sales,3,Divorced,5198.0,32,No,3,7.0,64.0,0
54,M,Support,1,Married,4821.0,29,No,3,25.4,196.0,0
30,M,Sales,2,Married,10246.0,13,No,4,2.5,115.0,0
46,M,Support,2,Single,6548.0,10,No,4,14.1,12.0,0
39,M,Engineering,1,Married,12758.0,19,Yes,2,8.4,146.0,0
35,F,Engineering,2,Single,8409.0,12,No,3,14.1,64.0,0
38,M,Sales,5,Married,3266.0,37,Yes,2,6.5,190.0,0
49,M,Support,2,Single,5977.0,39,No,3,18.1,153.0,1
26,M,Engineering,1,Single,4337.0,3,No,2,10.2,86.0,0
21,F,Sales,2,Single,4509.0,11,No,3,5.5,160.0,0
27,M,Sales,3,Single,6785.0,14,Yes,3,12.5,157.0,0
29,F,Sales,1,Married,7627.0,1,No,4,8.3,178.0,0
35,F,Sales,1,Married,7762.0,17,No,3,30.5,167.0,0
44,F,Support,2,Married,3184.0,20,Yes,3,14.4,185.0,1
26,M,Sales,3,Married,11737.0,35,No,3,5.9,71.0,0
43,F,Sales,3,Married,4212.0,19,No,3,26.8,174.0,0
42,F,HR,1,Married,4720.0,39,Yes,3,14.1,15.0,0
52,M,Sales,4,Single,2703.0,30,No,3,14.0,120.0,0
25,F,Finance,4,Single,6501.0,11,No,3,26.1,57.0,0
48,M,Sales,2,Married,8754.0,18,No,3,8.8,127.0,0
35,F,Support,2,Single,15771.0,18,No,3,6.800000000000001,23.0,0
52,M,HR,1,Single,4822.0,31,No,4,34.6,29.0,0
54,F,Finance,4,Single,10703.0,38,No,4,3.9,40.0,0
42,F,Engineering,1,Married,3973.0,38,No,3,8.1,110.0,0
21,M,Engineering,2,Divorced,13258.0,0,No,2,13.7,99.0,0
63,F,Sales,1,Married,9446.0,37,No,3,25.6,175.0,1
33,M,Sales,3,Single,11036.0,6,No,3,10.7,199.0,0
25,F,Engineering,1,Single,3408.0,18,No,4,13.4,151.0,0
40,F,HR,1,Single,9574.0,23,No,4,4.3,152.0,0
28,M,HR,5,Divorced,6862.0,5,No,4,1.6,63.0,0
58,M,Sales,1,Married,3183.0,19,No,2,8.1,82.0,0
44,F,Sales,2,Single,12414.0,39,No,3,5.2,161.0,0
38,M,Support,1,Single,7627.0,2,No,3,0.6000000000000001,43.0,0
20,F,Sales,1,Married,6008.0,35,Yes,2,9.3,48.0,0
36,M,HR,4,Married,6579.0,23,Yes,2,13.8,11.0,0
61,M,Finance,1,Single,8471.0,30,No,3,11.4,165.0,0
52,M,Sales,1,Married,18782.0,6,No,3,19.0,3.0,0
19,M,Support,1,Single,5385.0,0,No,3,8.1,90.0,0
27,F,HR,3,Single,5302.0,28,No,3,0.8999999999999999,98.0,0
36,M,Engineering,4,Married,7972.0,10,No,3,4.0,167.0,0
61,F,Sales,2,Married,2544.0,23,Yes,3,12.6,110.0,1
50,F,Engineering,3,Married,5369.0,36,Yes,3,5.4,194.0,0
38,M,Engineering,4,Married,4406.0,18,No,1,9.1,105.0,0
31,M,Finance,2,Married,4939.0,29,No,3,0.7999999999999998,36.0,0
19,M,Engineering,1,Married,5163.0,6,No,2,6.5,50.0,0
28,F,Engineering,2,Married,12345.0,16,No,3,3.6,195.0,0
29,F,HR,1,Divorced,6836.0,11,No,3,8.1,197.0,0
60,F,HR,2,Single,9471.0,1,No,3,0.2999999999999998,179.0,0
58,M,Sales,2,Married,8448.0,2,No,2,0.5,81.0,0
63,M,Finance,4,Single,4780.0,5,Yes,2,7.5,104.0,0
60,M,Support,2,Single,4434.0,20,Yes,3,16.6,175.0,1
38,F,Sales,1,Married,4007.0,39,No,4,9.0,3.0,1
51,F,Finance,1,Married,5344.0,22,No,2,8.2,84.0,0
55,M,Finance,5,Single,9043.0,17,No,2,-0.1,8.0,0
62,F,Engineering,3,Married,4197.0,40,No,4,1.2000000000000002,42.0,0
40,M,Sales,1,Single,5435.0,17,No,4,10.1,118.0,1
32,F,Sales,1,Married,4932.0,18,No,3,9.5,0.0,0
54,M,Engineering,3,Divorced,5031.0,6,No,1,4.1,41.0,0
44,F,Sales,2,Divorced,10234.0,39,No,2,2.6,40.0,0
52,M,Support,1,Married,11895.0,19,No,4,7.5,132.0,0
31,F,Support,2,Married,7002.0,25,Yes,3,13.5,108.0,0
37,F,Support,1,Married,17115.0,34,Yes,2,15.9,166.0,0
47,M,Sales,2,Married,7037.0,10,Yes,3,10.5,121.0,0
31,M,Sales,1,Single,4520.0,14,No,4,-0.3,58.0,0
19,F,Sales,4,Divorced,4398.0,13,No,4,33.4,124.0,1
49,M,Engineering,3,Divorced,4425.0,40,Yes,3,13.0,159.0,0
58,F,Engineering,3,Married,13582.0,16,Yes,3,11.3,12.0,0
33,M,Support,2,Married,5173.0,35,No,3,2.4000000000000004,92.0,0
31,M,Finance,1,Single,6862.0,37,No,3,4.9,162.0,0
49,F,HR,1,Single,6364.0,0,Yes,3,5.1,0.0,0
42,F,Sales,1,Single,6610.0,11,Yes,2,19.0,75.0,0
58,M,Engineering,4,Single,5099.0,9,Yes,3,11.9,7.0,0
63,M,Support,3,Married,6314.0,3,No,3,4.5,84.0,0
33,F,HR,1,Divorced,7606.0,2,No,3,33.2,186.0,0
44,M,Support,2,Married,4455.0,19,No,3,18.5,77.0,0
37,F,Sales,2,Divorced,5452.0,19,Yes,1,2.5,159.0,0
55,M,Finance,3,Single,8943.0,13,No,3,16.3,44.0,0
43,F,Engineering,2,Single,8979.0,8,No,2,15.1,190.0,0
51,M,Engineering,2,Married,10789.0,15,No,4,-1.0,66.0,0
61,F,Support,2,Single,5792.0,26,No,3,2.0,49.0,0
63,M,Engineering,2,Single,6356.0,26,No,3,12.6,70.0,0
55,M,Finance,1,Married,6825.0,20,No,3,7.800000000000001,103.0,0
57,M,Engineering,1,Single,7310.0,17,No,3,8.8,196.0,0
46,F,Sales,2,Married,4593.0,17,Yes,2,22.6,178.0,0
64,M,Sales,4,Single,5642.0,13,No,3,6.199999999999999,138.0,0
53,F,Engineering,4,Married,5335.0,35,No,3,19.9,10.0,0
22,M,Support,1,Single,14608.0,16,No,2,4.0,19.0,0
57,M,Finance,3,Single,3963.0,40,No,4,5.5,29.0,0
59,F,Support,1,Married,9284.0,33,Yes,3,1.6,48.0,0
27,F,HR,1,Single,7815.0,15,No,3,6.5,23.0,0
57,F,Sales,1,Single,3955.0,31,Yes,4,3.9,39.0,0
47,M,Finance,3,Single,14272.0,17,No,2,16.6,50.0,0
38,M,Engineering,4,Married,2966.0,9,No,1,9.5,95.0,0
40,M,Engineering,4,Married,5401.0,5,No,2,9.9,106.0,0
61,M,Engineering,5,Single,5517.0,18,No,2,5.6,104.0,0
41,F,Engineering,1,Single,4593.0,22,Yes,4,8.5,51.0,0
44,M,Engineering,1,Single,8849.0,29,No,3,10.9,58.0,0
27,F,Engineering,3,Single,3183.0,16,No,3,11.3,116.0,1
26,M,Engineering,2,Married,8588.0,25,Yes,4,5.0,166.0,0
24,M,Engineering,3,Married,6511.0,4,Yes,2,5.2,14.0,0
40,M,Support,1,Married,18420.0,15,No,3,0.7000000000000002,191.0,0
34,M,HR,2,Divorced,10482.0,35,Yes,2,13.2,46.0,0
33,M,Engineering,2,Married,11177.0,14,No,3,10.0,179.0,0
55,F,Sales,3,Single,9981.0,40,No,2,13.5,169.0,0
47,M,Support,1,Married,8251.0,8,No,4,5.8,73.0,0
62,M,Engineering,1,Married,6034.0,2,Yes,1,11.2,147.0,0
46,F,Finance,1,Married,7403.0,30,No,3,23.3,46.0,1
43,F,Sales,2,Single,5885.0,25,No,3,9.9,191.0,0
61,M,Engineering,2,Single,5285.0,5,No,3,2.7,142.0,0
38,M,Sales,2,Married,11842.0,27,Yes,4,4.4,156.0,0
18,F,Engineering,3,Single,1602.0,11,Yes,3,20.7,43.0,1
30,F,Engineering,1,Single,8849.0,40,No,3,-1.0,129.0,0
43,M,Engineering,1,Single,6062.0,30,Yes,2,6.9,8.0,0
46,F,HR,3,Single,5988.0,14,No,2,13.8,164.0,0
36,F,Support,3,Single,3849.0,16,No,2,2.4000000000000004,51.0,0
44,M,Engineering,3,Single,5616.0,9,No,1,30.1,97.0,0
35,M,Support,2,Single,8107.0,33,Yes,4,0.0,5.0,0
36,F,Sales,1,Married,10015.0,11,No,2,16.3,135.0,0
21,M,Sales,5,Married,4944.0,11,No,3,8.9,63.0,0
24,F,Finance,1,Married,6376.0,27,Yes,1,13.7,126.0,0
20,F,Sales,2,Married,10123.0,26,No,4,5.7,24.0,0
64,M,Engineering,1,Single,18147.0,39,No,3,9.8,173.0,0
64,F,Sales,3,Married,5904.0,24,No,3,8.7,20.0,0
28,F,Sales,1,Single,3644.0,36,No,3,1.0,187.0,0
37,F,Sales,4,Single,5280.0,5,Yes,3,39.2,114.0,0
48,M,Engineering,1,Married,4089.0,5,No,3,1.9,125.0,0
33,M,Engineering,3,Married,5458.0,37,No,2,15.8,112.0,0
42,F,Support,1,Married,4616.0,27,Yes,2,7.699999999999999,120.0,0
27,F,Engineering,1,Single,7321.0,18,Yes,2,0.0,192.0,0
48,M,Engineering,3,Married,5372.0,19,No,3,7.1,107.0,0
32,M,Engineering,3,Single,4542.0,24,No,3,25.3,190.0,1
38,M,Engineering,1,Married,8928.0,29,No,3,1.9,96.0,0
37,M,Sales,5,Married,5543.0,16,No,3,1.4,28.0,0
24,M,HR,2,Single,5811.0,30,No,3,5.9,70.0,0
54,F,Engineering,1,Divorced,6285.0,31,No,3,6.199999999999999,65.0,0
45,F,Engineering,2,Married,5138.0,32,No,2,7.5,74.0,0
44,M,HR,1,Single,4720.0,28,No,3,6.699999999999999,111.0,0
27,M,Engineering,1,Married,2015.0,28,Yes,2,12.5,29.0,0
56,F,HR,3,Single,3326.0,31,No,3,4.0,62.0,0
22,F,Support,1,Married,5466.0,36,Yes,3,-0.8,149.0,0
24,F,HR,3,Single,19273.0,21,No,3,8.7,115.0,0
26,F,Support,2,Single,10415.0,8,No,1,0.3999999999999999,3.0,0
29,F,HR,2,Single,13564.0,29,No,3,10.2,141.0,0
52,M,Sales,4,Single,13578.0,8,No,3,5.8,37.0,0
29,F,Engineering,3,Married,3448.0,6,No,4,5.6,113.0,0
21,F,Engineering,1,Married,5796.0,19,Yes,3,1.7999999999999998,158.0,0
20,M,Sales,3,Single,5621.0,3,No,2,3.2,34.0,0
32,F,Support,4,Married,2003.0,13,Yes,3,13.8,15.0,1
46,F,Engineering,3,Single,3005.0,28,No,3,10.7,15.0,0
47,F,Support,4,Single,12545.0,6,No,3,15.1,32.0,1
51,M,Sales,1,Married,5814.0,31,No,3,6.300000000000001,68.0,0
49,M,Support,2,Single,13131.0,28,No,3,16.0,158.0,0
49,M,Sales,1,Married,1980.0,37,No,3,8.4,123.0,0
31,F,Finance,1,Divorced,11387.0,13,No,3,6.1,183.0,0
54,M,Engineering,3,Married,5645.0,29,Yes,3,7.800000000000001,167.0,0
19,M,Sales,1,Married,5842.0,20,No,2,6.1,101.0,0
45,M,Engineering,3,Single,1847.0,21,No,4,18.5,13.0,1
55,M,Support,1,Married,10273.0,16,No,4,9.8,174.0,0
34,M,Engineering,3,Single,6314.0,34,No,3,-0.1999999999999999,191.0,0
53,M,Sales,4,Divorced,9423.0,8,No,3,4.7,83.0,0
42,M,Engineering,1,Married,11478.0,18,No,3,9.4,114.0,0
48,F,Sales,1,Single,14064.0,37,No,3,7.1,158.0,0
36,F,Engineering,2,Single,3712.0,16,No,3,15.2,13.0,1
42,M,Support,4,Single,6158.0,6,No,4,8.8,27.0,1
35,F,Engineering,1,Single,2892.0,31,No,3,7.1,146.0,0
61,M,Sales,3,Single,3579.0,30,No,2,1.1,16.0,0
40,M,Sales,2,Married,11193.0,24,No,3,8.0,25.0,0
24,M,Support,1,Married,5996.0,14,No,4,9.9,173.0,1
49,M,Sales,3,Married,7317.0,23,No,1,2.7,87.0,0
33,F,Engineering,2,Single,12261.0,38,No,4,12.0,141.0,0
50,M,Sales,1,Married,11299.0,10,No,3,7.199999999999999,63.0,0
62,F,Sales,3,Married,20906.0,10,No,3,12.8,102.0,0
20,M,Support,1,Single,5711.0,22,Yes,3,9.8,185.0,0
18,M,Finance,2,Married,15629.0,35,Yes,2,5.5,9.0,0
52,F,Sales,3,Married,20140.0,29,No,3,33.5,55.0,0
63,F,HR,1,Married,4252.0,23,Yes,3,5.4,194.0,0
35,M,Finance,3,Married,7838.0,7,No,3,7.6,145.0,0
64,F,Engineering,3,Married,4212.0,13,Yes,3,10.0,45.0,0
50,F,Sales,1,Divorced,2769.0,32,No,4,33.7,76.0,0
33,M,Engineering,3,Single,3430.0,24,Yes,3,14.1,173.0,0
34,F,Sales,1,Divorced,4109.0,21,No,3,17.6,121.0,0
61,M,Support,1,Married,4998.0,38,Yes,3,0.7999999999999998,23.0,0
44,M,Support,1,Single,5149.0,1,No,3,1.9,78.0,0
64,F,Engineering,2,Single,10275.0,21,No,2,23.1,135.0,0
24,M,HR,1,Married,8433.0,32,No,3,1.9,58.0,0
59,F,Engineering,1,Single,5789.0,22,Yes,3,8.9,77.0,0
37,M,Sales,5,Married,7476.0,15,No,3,15.4,97.0,0
23,F,Sales,2,Married,2921.0,31,No,3,4.3,113.0,0
24,M,Support,2,Single,9762.0,26,Yes,3,9.6,193.0,1
60,M,Finance,4,Single,5631.0,32,No,3,11.3,7.0,1
55,F,Support,2,Married,2643.0,7,No,2,18.9,143.0,1
22,F,Sales,1,Divorced,3563.0,38,Yes,2,0.7999999999999998,29.0,0
55,M,Sales,2,Married,13018.0,12,Yes,3,10.8,22.0,1
55,M,Finance,3,Single,9022.0,14,No,3,1.7000000000000002,150.0,0
36,M,Engineering,3,Married,5484.0,5,Yes,4,5.7,97.0,0
55,M,Sales,1,Divorced,20199.0,32,Yes,2,11.5,59.0,0
45,M,Engineering,3,Single,4837.0,20,No,2,1.9,102.0,0
26,F,HR,2,Divorced,6933.0,20,No,2,15.9,81.0,1
18,F,Support,2,Married,3506.0,12,No,4,4.4,81.0,0
56,F,Sales,2,Single,8180.0,8,No,3,7.6,126.0,0
57,F,Finance,3,Divorced,3159.0,39,No,3,8.9,119.0,0
25,F,Sales,3,Single,14308.0,9,No,4,7.6,192.0,0
58,F,Engineering,3,Single,2567.0,21,Yes,3,9.6,23.0,0
29,M,Support,1,Single,4846.0,8,No,3,19.6,56.0,0
18,F,Support,1,Single,10395.0,24,Yes,3,18.5,189.0,0
51,F,Engineering,3,Married,7726.0,7,Yes,2,14.0,73.0,0
25,F,Finance,2,Single,3001.0,17,Yes,3,13.2,79.0,0
24,M,Engineering,1,Divorced,7290.0,8,No,3,15.8,82.0,0
19,F,Finance,3,Married,17073.0,39,No,3,8.9,123.0,0
56,F,Sales,2,Married,7450.0,16,No,3,4.0,177.0,0
61,M,Support,2,Single,10852.0,28,No,3,1.0,171.0,0
30,F,Support,2,Married,25991.0,23,No,3,10.6,135.0,0
49,M,Sales,2,Married,4793.0,33,No,3,2.3,136.0,0
53,F,Sales,2,Married,11916.0,1,No,3,15.6,1.0,0
34,M,Engineering,5,Single,7344.0,1,No,3,10.6,140.0,0
22,F,Sales,4,Married,7436.0,1,No,4,6.199999999999999,162.0,0
31,F,Engineering,1,Divorced,4316.0,37,No,2,5.6,62.0,0
34,M,Sales,1,Single,4745.0,26,No,1,4.4,61.0,0
57,M,HR,1,Single,14784.0,3,No,3,10.6,191.0,0
61,M,Engineering,1,Married,4015.0,33,No,2,5.0,51.0,0
52,F,Support,1,Single,9527.0,33,No,3,5.5,79.0,0
38,M,Finance,2,Single,10887.0,34,No,3,24.0,121.0,0
57,F,Sales,5,Married,10732.0,14,No,2,3.6,7.0,0
25,F,HR,2,Married,5064.0,29,No,3,4.5,57.0,0
59,M,Support,3,Single,2796.0,18,No,3,3.3,101.0,0
54,M,Support,2,Married,10146.0,28,Yes,3,20.7,30.0,0
27,M,Finance,1,Single,8354.0,12,Yes,3,11.8,24.0,0
50,M,Engineering,1,Married,18785.0,30,No,3,-0.3999999999999999,21.0,0
25,M,Engineering,3,Divorced,5881.0,29,No,1,3.3,98.0,0
32,M,HR,1,Single,7077.0,5,No,3,3.0,176.0,0
18,M,Support,1,Married,4748.0,26,No,3,5.9,152.0,0
64,M,Engineering,2,Married,6258.0,2,No,3,13.4,106.0,0
48,M,Finance,2,Divorced,14006.0,18,No,2,1.2999999999999998,170.0,0
23,F,Finance,2,Married,4679.0,40,Yes,2,3.9,80.0,0
46,M,Engineering,2,Single,15447.0,4,No,3,0.1,59.0,0
31,F,Finance,1,Married,1611.0,13,No,2,4.1,174.0,0
52,F,Engineering,1,Single,7981.0,17,Yes,3,21.7,134.0,0
62,F,HR,3,Single,8167.0,3,No,1,-1.0,2.0,0
61,M,Engineering,1,Divorced,4938.0,40,No,3,6.699999999999999,141.0,0
49,F,Support,2,Single,8088.0,7,No,3,11.7,127.0,0
44,M,Engineering,4,Married,7176.0,34,No,2,0.0,125.0,0
38,F,Engineering,1,Married,8235.0,21,No,3,5.5,122.0,0
54,F,Sales,5,Married,2185.0,37,No,3,9.9,55.0,1
37,M,Support,2,Married,7979.0,24,No,4,2.0,155.0,0
42,M,Sales,1,Married,9863.0,35,No,1,8.3,79.0,0
33,M,Sales,1,Married,8350.0,18,No,2,10.4,4.0,0
64,F,Finance,1,Married,6938.0,4,Yes,1,10.4,42.0,0
38,M,Support,4,Single,4514.0,39,Yes,3,5.5,140.0,0
55,M,Engineering,1,Divorced,14535.0,17,Yes,3,3.4000000000000004,73.0,0
27,F,Support,3,Married,7509.0,33,Yes,3,13.4,118.0,0
21,M,Engineering,2,Married,3787.0,30,No,3,5.6,16.0,0
29,F,HR,5,Divorced,5624.0,39,No,4,10.5,77.0,0
42,F,Sales,4,Single,6657.0,8,Yes,3,12.5,128.0,0
52,M,Sales,1,Single,4153.0,30,No,3,9.6,175.0,0
60,M,Engineering,4,Married,7011.0,1,No,3,9.5,23.0,0
63,M,Engineering,3,Married,9759.0,33,No,3,-0.3,39.0,0
55,M,Sales,5,Single,5555.0,24,No,1,8.6,107.0,0
29,F,Engineering,2,Single,3573.0,17,No,3,13.8,108.0,0
47,F,Sales,1,Single,4166.0,6,Yes,3,9.3,133.0,0
19,M,Sales,1,Single,10001.0,37,No,4,11.8,192.0,0
21,M,Support,5,Married,6041.0,11,No,3,20.6,16.0,0
45,M,Engineering,1,Single,4977.0,6,Yes,2,6.5,81.0,0
24,F,Finance,2,Single,18854.0,35,No,3,5.9,23.0,0
57,M,Sales,2,Divorced,5294.0,10,No,3,25.9,18.0,0
45,F,HR,1,Married,10253.0,35,No,3,25.4,198.0,1
58,M,Sales,2,Married,11524.0,33,No,1,13.3,177.0,0
37,F,Sales,2,Single,6844.0,23,No,4,3.9,146.0,0
23,M,Finance,1,Married,12960.0,0,No,4,13.8,87.0,0
35,M,Support,1,Single,11405.0,19,No,4,7.800000000000001,137.0,0
26,M,Engineering,2,Single,4142.0,5,Yes,3,5.1,62.0,0
44,M,Finance,1,Married,3978.0,25,Yes,4,19.1,99.0,0
18,M,Support,4,Divorced,9778.0,25,No,3,14.6,112.0,0
52,F,Sales,3,Married,6183.0,24,No,3,11.9,122.0,0
36,F,Engineering,2,Single,9736.0,12,No,1,10.9,19.0,0
18,M,Sales,1,Single,8318.0,21,No,3,5.4,91.0,0
45,M,Engineering,5,Married,6682.0,4,No,3,5.4,4.0,0
42,F,Sales,1,Married,11937.0,27,No,3,1.7999999999999998,12.0,0
19,M,Engineering,1,Married,3261.0,27,No,3,0.7000000000000002,50.0,0
43,F,Support,1,Divorced,10711.0,28,No,2,3.7,195.0,0
20,F,Sales,1,Married,4923.0,13,No,1,-0.3,66.0,0
24,F,Engineering,4,Married,4348.0,19,No,3,5.1,55.0,0
64,F,Engineering,4,Married,2863.0,37,No,3,7.300000000000001,137.0,0
28,F,Support,1,Married,11369.0,6,Yes,3,12.1,173.0,0
63,F,Finance,4,Married,14794.0,35,No,3,14.3,36.0,0
63,M,Sales,1,Married,3693.0,39,Yes,2,18.3,99.0,1
60,M,Sales,2,Married,6767.0,31,No,1,24.1,68.0,1
58,M,Finance,1,Married,8705.0,30,No,3,9.6,105.0,0
47,F,Finance,5,Single,8324.0,5,Yes,3,20.5,139.0,0
28,M,Engineering,3,Single,2289.0,30,No,3,2.0,167.0,0
51,F,Sales,1,Single,5958.0,9,No,4,2.9000000000000004,103.0,0
25,M,Support,3,Single,6248.0,24,No,2,10.7,30.0,0
48,M,Finance,3,Married,2228.0,33,No,3,14.9,185.0,0
64,M,HR,1,Married,2804.0,15,Yes,2,9.2,162.0,1
64,M,Finance,1,Married,4741.0,15,Yes,3,9.0,74.0,0
57,F,HR,1,Single,8019.0,38,No,3,6.5,196.0,0
30,M,Finance,2,Single,5338.0,20,Yes,3,5.6,159.0,0
23,M,Support,2,Divorced,5736.0,32,No,3,0.8999999999999999,184.0,0
30,F,HR,2,Married,3233.0,5,No,3,14.9,188.0,1
37,M,Sales,1,Divorced,3602.0,32,No,3,9.9,3.0,0
54,F,Sales,1,Married,3423.0,34,No,2,5.9,84.0,0
38,M,Finance,3,Single,14780.0,36,Yes,3,13.7,62.0,0
49,M,Engineering,3,Married,5129.0,0,No,3,0.8999999999999999,125.0,0
43,F,Sales,4,Married,1838.0,32,No,3,12.3,128.0,1
60,F,Sales,1,Married,16055.0,29,Yes,3,21.5,52.0,1
36,M,Support,3,Single,10934.0,28,No,2,17.2,119.0,0
39,M,Finance,1,Married,6507.0,1,No,3,9.0,54.0,0
63,M,Engineering,1,Single,4420.0,5,No,3,0.7999999999999998,147.0,0
40,M,Engineering,1,Single,1852.0,28,Yes,3,29.8,6.0,0
41,M,Finance,2,Married,8440.0,38,No,3,9.5,189.0,0
56,F,Sales,3,Married,2482.0,4,Yes,3,18.6,184.0,1
29,M,Engineering,3,Single,4853.0,14,No,3,11.5,53.0,0
28,M,Engineering,3,Married,5398.0,28,Yes,3,5.3,177.0,0
64,F,Engineering,4,Married,5600.0,12,No,2,12.1,104.0,0
60,M,HR,2,Married,4500.0,15,No,3,7.9,174.0,0
27,F,Engineering,3,Single,8043.0,27,Yes,3,12.6,115.0,0
33,F,Engineering,2,Married,12025.0,16,No,3,4.1,160.0,0
56,M,Support,1,Married,4675.0,39,No,3,20.6,19.0,0
43,M,Engineering,2,Married,6559.0,2,No,3,2.5,31.0,0
20,F,Finance,5,Married,6318.0,5,No,3,7.699999999999999,130.0,0
46,M,HR,3,Married,9531.0,29,No,4,2.2,161.0,0
19,M,Sales,2,Single,7392.0,21,No,3,3.4000000000000004,32.0,0
40,F,Finance,4,Married,7686.0,14,No,3,19.3,186.0,0
29,F,Engineering,1,Single,5746.0,14,Yes,4,18.6,183.0,1
33,F,HR,3,Divorced,4895.0,6,Yes,3,14.0,143.0,0
19,F,Engineering,1,Single,7805.0,35,No,4,36.1,183.0,1
43,F,Engineering,1,Divorced,4418.0,5,No,4,12.3,58.0,0
59,F,Sales,4,Married,7363.0,28,No,4,1.9,52.0,0
23,F,Sales,1,Divorced,12844.0,32,No,3,24.8,187.0,0
20,M,Sales,1,Married,5528.0,20,Yes,3,17.1,9.0,0
59,F,Engineering,3,Married,4759.0,6,Yes,1,17.3,19.0,1
25,M,Engineering,1,Divorced,11412.0,16,No,4,1.7000000000000002,130.0,0
62,M,Engineering,2,Married,5098.0,18,No,1,10.1,148.0,0
57,M,HR,2,Single,9172.0,20,Yes,3,17.6,191.0,1
47,F,Engineering,3,Single,13093.0,22,No,3,8.0,19.0,0
28,F,Finance,1,Single,16182.0,28,No,3,4.4,117.0,0
64,F,Engineering,4,Married,7928.0,19,No,3,2.1,136.0,0
22,M,Engineering,1,Married,4696.0,22,No,3,1.4,151.0,0
27,F,Engineering,3,Single,6954.0,6,Yes,1,17.6,106.0,0
38,M,Support,2,Single,12141.0,26,No,2,4.1,140.0,0
50,F,Engineering,4,Single,10470.0,10,Yes,3,1.1,125.0,0
41,M,Engineering,5,Single,12021.0,22,Yes,4,4.1,20.0,0
31,M,Sales,2,Married,3608.0,39,No,4,6.699999999999999,2.0,0
40,F,Finance,3,Single,5552.0,8,No,3,4.3,89.0,0
44,F,Support,2,Married,11879.0,19,No,3,15.3,40.0,0
54,F,Finance,3,Single,5419.0,23,Yes,3,11.8,149.0,0
61,M,Finance,1,Divorced,12770.0,20,Yes,3,3.4000000000000004,108.0,0
57,M,Engineering,4,Married,14099.0,23,No,3,0.2999999999999998,85.0,0
26,F,Engineering,4,Married,7108.0,37,Yes,2,35.0,65.0,1
64,M,Sales,2,Single,6120.0,29,No,3,9.6,121.0,0
54,F,Support,1,Single,5749.0,7,No,2,10.3,130.0,0
18,F,Sales,1,Single,13360.0,12,No,3,5.0,196.0,0
27,M,Engineering,3,Married,11768.0,40,No,3,14.2,92.0,0
40,M,Support,2,Married,9047.0,22,Yes,3,5.9,126.0,0
60,M,Engineering,1,Single,5304.0,24,No,3,8.3,167.0,0
28,M,Engineering,2,Married,6844.0,25,Yes,2,4.3,20.0,0
28,F,HR,1,Married,6689.0,40,Yes,4,3.0,1.0,0
57,F,Support,1,Married,3305.0,1,No,4,18.0,67.0,0
44,M,Engineering,2,Married,6211.0,1,No,2,4.1,78.0,0
35,F,Finance,1,Married,6231.0,28,No,3,16.5,121.0,1
63,M,Sales,5,Single,9569.0,34,No,4,15.4,37.0,0
49,M,HR,1,Married,7092.0,25,Yes,3,2.1,170.0,0
39,F,Engineering,3,Single,6277.0,16,No,2,20.7,187.0,0
62,M,Finance,3,Divorced,8262.0,17,No,3,20.9,17.0,0
41,F,Support,1,Married,3761.0,38,Yes,3,8.5,99.0,0
51,M,Finance,2,Single,3687.0,3,No,4,6.699999999999999,150.0,0
57,M,Engineering,2,Married,4028.0,21,No,3,3.1,175.0,0
29,M,Finance,2,Single,18988.0,25,No,4,6.5,167.0,0
38,F,Engineering,2,Married,6968.0,21,Yes,3,8.3,47.0,0
54,M,Support,1,Married,4177.0,11,No,3,14.7,29.0,0
52,M,Support,1,Married,7372.0,29,No,3,0.1,33.0,0
